title,publishedAt,url,compound sentiment score
A deeply unpopular JD Vance had a lot to lose during the VP debate. These were the big moments,2024-10-02 03:24:42+00:00,https://www.abc.net.au/news/2024-10-02/walz-vance-vp-debate-key-takeaways/104421310,0.8665
Fatherland: Nazi Germany in Biden’s America,2024-10-02 04:00:00+00:00,https://www.americanthinker.com/articles/2024/10/fatherland_nazi_germany_in_biden_s_america.html,0.0
3 winners and 2 losers from the Walz-Vance debate,2024-10-02 05:27:33+00:00,https://www.vox.com/politics/375299/vp-debate-vance-walz-winners-losers-analysis,0.0
"Nitrous, one of the oldest mind-altering drugs, is back",2024-10-02 23:06:36+00:00,https://www.vox.com/future-perfect/374109/nitrous-oxide-laughing-galaxy-gas-whippets-history,0.0
"In Michigan, Harris works to solidify union support amid signs some of it could be slipping to Trump",2024-10-04 21:15:07+00:00,https://japantoday.com/category/world/harris-and-trump-battle-for-labor-support-as-dockworkers-suspend-strike,0.0
US President Biden discourages Israel from attacking Iran's oil fields,2024-10-05 03:19:25+00:00,https://www.business-standard.com/world-news/us-president-biden-discourages-israel-from-attacking-iran-s-oil-fields-124100500089_1.html,0.0
The issues and states that will determine who wins the White House,2024-10-05 10:00:11+00:00,https://www.bostonherald.com/2024/10/05/swing-states-presidential-election/,0.0
Saturday: Hili dialogue,2024-10-05 11:45:39+00:00,https://whyevolutionistrue.com/2024/10/05/saturday-hili-dialogue-500/,-0.9919
Harris faces new urgency to explain how her potential presidency would be different from Biden’s,2024-10-10 16:34:02+00:00,https://www.bostonherald.com/2024/10/10/harris-presidency-difference-biden/,0.0
Trump vs. Harris Drama Can’t Drag Big NFL TV Ratings—Yet,2024-10-11 09:55:00+00:00,https://www.sportico.com/business/media/2024/nfl-tv-ratings-kelce-mahomes-chiefs-cowboys-1234800755/,0.9891
This is the Disco Elysium successor to get excited about: Multiple writers from the first game announce a manifesto to create an RPG 'with complexity and ambition to rival our wretched and wonderful world',2024-10-11 16:14:18+00:00,https://www.pcgamer.com/games/rpg/a-third-disco-elysium-successor-studio-has-gone-public-today-but-this-is-the-one-to-get-excited-about-multiple-writers-from-the-first-game-and-a-manifesto-to-create-an-rpg-with-complexity-and-ambition-to-rival-our-wretched-and-wonderful-world/,0.9919
Tim Walz Called To Eliminate Spending on National Missile Defense,2024-10-14 09:00:12+00:00,https://freebeacon.com/national-security/tim-walz-called-to-eliminate-spending-on-national-missile-defense/,0.9927
2:00PM Water Cooler 10/14/2024,2024-10-14 18:00:53+00:00,https://www.nakedcapitalism.com/2024/10/200pm-water-cooler-10-14-2024.html,0.9987
"A recession could be on the horizon no matter who wins the election, strategist says",2024-10-16 09:00:00+00:00,https://qz.com/recession-doug-cohen-fiduciary-trust-video-1851673112,0.0
Unions face a moment of truth in Michigan as Kamala Harris and Donald Trump woo them in starkly different terms,2024-10-16 11:00:16+00:00,https://fortune.com/2024/10/16/michigan-kamala-harris-donald-trump-unions/,0.0
Expanding the Vocabulary,2024-10-17 12:00:00+00:00,https://www.nybooks.com/articles/2024/11/07/expanding-the-vocabulary-kamala-harris/,0.9637
"Fed Up With Carbon Monoxide and Drunks, Casa Bonita’s Performers Are Unionizing",2024-10-17 13:00:00+00:00,https://www.cracked.com/article_44003_fed-up-with-carbon-monoxide-and-drunks-casa-bonitas-performers-are-unionizing.html,0.0
2:00PM Water Cooler 10/17/2024,2024-10-17 18:00:59+00:00,https://www.nakedcapitalism.com/2024/10/200pm-water-cooler-10-17-2024.html,0.9998
The Harris Campaign Needs to Name Other Culprits Besides Donald Trump,2024-10-18 09:30:00+00:00,https://www.thenation.com/article/politics/harris-campaign-name-culprits/,0.0
2:00PM Water Cooler 10/18/2024,2024-10-18 18:00:18+00:00,https://www.nakedcapitalism.com/2024/10/200pm-water-cooler-10-18-2024.html,0.9753
Trump's McDonald's shift and Stevie Wonder serenades Kamala Harris — the latest from the US election campaign,2024-10-21 03:58:50+00:00,https://www.abc.net.au/news/2024-10-21/us-election-latest-wrap/104496566,0.0
Police In Mozambique Disperse Vote Protest,2024-10-21 14:42:13+00:00,https://www.ibtimes.com/police-mozambique-disperse-vote-protest-3747521,0.0
2:00PM Water Cooler 10/21/2024,2024-10-21 18:00:19+00:00,https://www.nakedcapitalism.com/2024/10/200pm-water-cooler-10-21-2024.html,0.9958
Shaking from April's sizable New Jersey earthquake traveled strangely far,2024-10-21 18:57:26+00:00,https://www.sciencedaily.com/releases/2024/10/241021145726.htm,-0.9901
Police in Mozambique disperse opposition protest after disputed election,2024-10-21 21:13:05+00:00,https://www.aljazeera.com/news/2024/10/21/police-in-mozambique-disperse-opposition-protest-after-disputed-election,0.0
2:00PM Water Cooler 10/22/2024,2024-10-22 18:00:04+00:00,https://www.nakedcapitalism.com/2024/10/200pm-water-cooler-10-22-2024.html,0.9984
